#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
306153:6364,11/06/17 02:35:56,82,82,28.602665313,26.435393131
306154:6364,11/06/17 03:10:19,1213,1213,362.250839830,334.755794105
306155:6364,11/06/17 11:12:05,1440,1440,225.439982356,219.491926028
306169:6364,11/06/17 21:43:34,735,735,68.312136716,66.299040979
306170:6364,11/07/17 02:33:04,15,15,1.212292827,1.135254456
306171:6364,11/07/17 02:41:35,503,503,36.343851154,35.728272150
306418:6370,11/09/17 02:11:31,65,65,22.625056151,20.778732056
306419:6370,11/09/17 02:41:06,58,58,20.135928951,18.423612032
306420:6370,11/09/17 03:06:38,108,108,37.260249086,34.221122868
306422:6370,11/09/17 04:30:37,114,114,36.450529017,34.684710211
306423:6370,11/09/17 05:16:28,323,323,90.765408342,85.778257900
306432:6370,11/09/17 08:44:06,339,339,34.315610777,33.338319238
306454:6371,11/09/17 14:18:49,83,83,28.806611115,26.851396539
306455:6371,11/09/17 14:53:13,5,5,1.749729562,1.621956503
306456:6371,11/09/17 14:58:09,783,783,247.752689567,237.025486353
306457:6371,11/09/17 20:03:47,28,28,7.218752459,6.686619263
306458:6371,11/09/17 20:15:39,221,221,53.480364621,51.452197097
306459:6371,11/09/17 22:00:10,2273,2273,314.899328478,307.670838114
306460:6371,11/10/17 12:48:13,64,64,3.866398784,3.722601167
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#37,110,58486,58485,14185.362918138,13538.886094049
#Check JSON:
#(run,ls) in json but not in results: []
