#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
301179:6086,08/15/17 07:59:16,14,14,2.621687793,2.048254762
301180:6086,08/15/17 08:08:13,92,92,15.853308424,14.830088014
301183:6086,08/15/17 08:47:34,294,294,47.241276251,45.298745053
301281:6089,08/15/17 23:08:28,115,115,19.364107275,18.542081016
301283:6089,08/15/17 23:59:33,883,883,123.914283536,120.005148932
301298:6090,08/16/17 09:17:06,903,903,159.526490135,153.992529651
301323:6091,08/16/17 18:22:15,948,948,172.482249720,165.060316261
301330:6093,08/17/17 05:32:11,327,327,67.929531688,64.442939592
301359:6094,08/17/17 11:08:15,282,282,59.862322594,57.278251482
301384:6096,08/17/17 15:43:36,476,476,98.240901138,94.353980367
301391:6097,08/17/17 21:44:38,170,170,36.203667986,34.574486068
301392:6097,08/17/17 22:57:14,627,627,114.412855886,110.226142646
301393:6097,08/18/17 03:04:23,17,17,2.714215292,2.604790037
301396:6097,08/18/17 03:39:05,26,26,4.032400313,3.739860518
301397:6097,08/18/17 03:55:16,716,716,96.858354851,94.047998951
301398:6097,08/18/17 08:43:04,6,6,0.707951423,0.559291192
301399:6097,08/18/17 08:50:12,108,108,12.455934625,12.282389882
301417:6098,08/18/17 12:47:02,318,318,70.564432527,67.689348496
301447:6104,08/19/17 11:30:21,419,419,74.607916796,71.877412985
301448:6104,08/19/17 14:20:04,325,325,49.567581548,48.026966239
301449:6104,08/19/17 16:30:03,385,385,50.936627033,49.332904921
301450:6104,08/19/17 19:07:02,173,173,19.921164919,19.426093327
301461:6105,08/19/17 23:01:49,549,549,104.311769625,98.199824892
301472:6106,08/20/17 14:12:54,792,792,142.119132141,138.117559938
301475:6106,08/20/17 19:47:00,12,12,1.818596939,1.558198779
301476:6106,08/20/17 19:53:54,844,844,110.610607467,107.777845300
301519:6110,08/21/17 13:14:38,191,191,34.722249263,33.361205467
301524:6110,08/21/17 14:45:22,257,257,42.620581442,41.078319717
301529:6110,08/21/17 17:22:10,47,47,7.014029171,6.578466467
301530:6110,08/21/17 17:44:34,105,105,15.045498880,14.335108455
