#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
275310:5026,06/17/16 17:32:53,1929,1929,230.971064741,223.928385640
275311:5026,06/18/16 06:07:07,1253,1253,110.651646995,108.015049940
275319:5027,06/18/16 18:56:15,142,142,25.981594448,24.647863716
275337:5027,06/18/16 21:26:04,427,427,71.842637466,68.989273494
275338:5027,06/19/16 00:15:37,520,520,78.279633955,75.749679520
275344:5028,06/19/16 08:18:25,281,281,52.810942987,50.722207375
275345:5028,06/19/16 10:12:11,353,353,62.652247320,59.911242053
275370:5029,06/19/16 16:19:29,285,285,54.786437550,52.091600078
275371:5029,06/19/16 18:16:49,564,564,99.249765462,94.980778382
275375:5030,06/20/16 02:17:12,1323,1323,215.484315796,207.472096438
275376:5030,06/20/16 10:55:04,3095,3095,334.713184931,325.942475469
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#34,103,52670,52665,6067.875433867,5824.235613760
#Check JSON:
#(run,ls) in json but not in results: []
