#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
317080:6737,05/28/18 20:40:32,26,26,8.321827223,7.844298336
317087:6738,05/28/18 23:14:11,738,738,252.096735364,243.202203145
317089:6738,05/29/18 04:46:51,999,999,220.226757321,212.905926221
317182:6741,05/30/18 09:15:46,1373,1373,420.764134051,406.209997663
317212:6744,05/31/18 02:42:17,139,139,53.920867992,51.172810638
317213:6744,05/31/18 03:40:05,375,375,130.331447054,125.490000373
317279:6747,05/31/18 17:11:10,466,466,68.311782681,65.891594342
317291:6749,06/01/18 02:53:28,789,789,282.641079153,274.031055366
317292:6749,06/01/18 08:08:05,330,330,87.647374883,85.007136459
317297:6749,06/01/18 11:34:35,697,697,127.414941893,123.799397679
317319:6751,06/01/18 19:42:33,136,136,55.459482838,52.249349218
317320:6751,06/01/18 20:37:54,1818,1818,476.496153667,460.406194753
317338:6752,06/02/18 10:48:26,40,40,15.042884495,13.631195456
317339:6752,06/02/18 11:06:14,153,153,63.936144054,61.450264285
317340:6752,06/02/18 12:17:48,417,417,147.455838272,140.597437600
317382:6755,06/03/18 16:34:21,70,70,27.360876307,24.139661510
317383:6755,06/03/18 17:05:19,58,58,23.899689016,22.451450797
317391:6757,06/04/18 03:21:59,8,8,3.496548267,2.717313796
317392:6757,06/04/18 03:27:44,1898,1898,505.359347639,490.659735247
317435:6759,06/05/18 00:15:36,1396,1396,374.091933969,360.615502513
317438:6759,06/05/18 09:20:20,307,307,51.747091350,49.709793306
317475:6761,06/05/18 18:13:47,68,68,27.077772052,25.761373805
317478:6761,06/05/18 18:47:21,23,23,8.476481824,7.937305209
317484:6761,06/05/18 19:51:18,523,523,165.746311124,160.357101107
317488:6761,06/05/18 23:26:30,844,844,186.916937303,181.128943934
317527:6763,06/06/18 22:52:12,1447,1447,466.680818003,452.102222173
317591:6768,06/08/18 07:07:54,292,292,115.252826377,111.117504102
317626:6770,06/08/18 20:45:30,2005,2005,546.291028991,528.942858064
317640:6772,06/09/18 13:47:48,796,796,270.183998511,261.181149981
317641:6772,06/09/18 19:02:09,1390,1390,276.437381397,268.316146845
317648:6773,06/10/18 06:27:56,92,92,36.314129234,33.882197849
317649:6773,06/10/18 07:08:12,619,619,199.896396606,193.212899866
317650:6773,06/10/18 11:10:27,1304,1304,264.312622553,255.997533867
317661:6774,06/10/18 21:56:59,1222,1222,387.537581953,375.653568586
317663:6774,06/11/18 06:27:15,858,858,157.243448494,153.301914509
317683:6776,06/11/18 16:18:33,320,320,122.369111730,117.852703812
317696:6778,06/12/18 00:00:42,645,645,237.878016753,228.788626047
318733:6850,06/26/18 22:28:18,33,33,2.986112499,2.792261079
318828:6858,06/28/18 06:30:24,70,70,13.680176993,13.229261290
318872:6860,06/28/18 15:50:31,271,271,94.888121228,91.855388478
318874:6860,06/28/18 17:39:38,316,316,102.970811520,99.566083760
318876:6860,06/28/18 19:45:23,160,160,48.736407605,46.587403226
318877:6860,06/28/18 20:49:22,615,615,165.062573371,160.549989713
319077:6874,07/01/18 23:27:46,41,41,16.847324027,16.372093675
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#24,44,26187,26187,7309.809327639,7060.668849682
#Check JSON:
#(run,ls) in json but not in results: []
