#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
320673:7005,08/01/18 02:33:01,867,867,65.886258185,64.592146479
320674:7005,08/01/18 08:11:46,599,599,34.307291725,33.749177024
320688:7006,08/01/18 15:24:06,483,483,135.322479095,130.855973052
320712:7008,08/02/18 02:45:01,204,204,71.961798483,69.580333274
320757:7013,08/02/18 14:37:56,332,332,120.887148005,116.684511684
320804:7017,08/03/18 07:27:51,1225,1225,330.169852901,319.035301523
320807:7017,08/03/18 15:28:46,2,2,0.377820605,0.348395369
320809:7017,08/03/18 15:43:13,716,716,109.017319973,106.231066902
320821:7018,08/03/18 23:57:32,181,181,62.972025454,60.433374668
320822:7018,08/04/18 01:09:16,522,522,154.771050760,149.815328920
320823:7018,08/04/18 04:34:31,360,360,82.833703239,80.025689040
320824:7018,08/04/18 06:55:49,1051,1051,168.366963347,164.020607432
320838:7020,08/04/18 17:31:12,263,263,96.206942868,92.366779323
320840:7020,08/04/18 19:20:14,466,466,145.327556701,139.844677956
320841:7020,08/04/18 22:26:03,205,205,52.347911739,50.468420047
320853:7024,08/05/18 06:48:20,327,327,121.670755126,118.066391879
320854:7024,08/05/18 08:59:06,124,124,41.083138051,39.645198872
320855:7024,08/05/18 09:50:43,565,565,151.992267802,146.560086153
320856:7024,08/05/18 13:36:28,159,159,34.598946944,33.490997432
320857:7024,08/05/18 14:39:57,272,272,54.740676964,52.860041679
320858:7024,08/05/18 16:27:33,230,230,39.032636163,37.521219349
320859:7024,08/05/18 18:00:16,40,40,5.145834666,4.926686568
320887:7026,08/05/18 22:38:34,272,272,107.454194648,104.362438707
320888:7026,08/06/18 00:26:10,26,26,9.764340827,9.500266021
320916:7031,08/06/18 09:12:39,24,24,7.336276237,6.635054689
320917:7031,08/06/18 09:25:17,1925,1925,492.549199799,477.804517870
320920:7031,08/06/18 21:56:15,178,178,24.669321448,24.013498017
320933:7033,08/07/18 03:29:36,171,171,54.125958815,51.966170682
320934:7033,08/07/18 04:38:31,824,824,217.000788933,210.461750050
320936:7033,08/07/18 10:01:22,395,395,80.609067812,78.320294020
320941:7033,08/07/18 12:39:42,93,93,16.178968606,15.638136092
320980:7035,08/07/18 15:52:40,99,99,39.561989871,38.407873292
320995:7036,08/07/18 19:28:55,175,175,26.906905157,25.796132110
320996:7036,08/07/18 20:42:30,376,376,50.076867314,48.288003724
321004:7037,08/08/18 01:47:42,142,142,48.647590213,46.906845109
321005:7037,08/08/18 02:48:15,57,57,19.956680405,19.195962348
321006:7037,08/08/18 03:15:04,162,162,54.086487736,51.704609052
321007:7037,08/08/18 04:19:56,827,827,209.249866743,202.764244933
321009:7037,08/08/18 09:43:25,77,77,15.125993238,14.732991380
321010:7037,08/08/18 10:16:22,340,340,59.404188325,57.206849307
321011:7037,08/08/18 12:32:48,209,209,31.247776833,28.948924434
321012:7037,08/08/18 13:58:30,46,46,5.253631429,4.974461104
321051:7039,08/09/18 03:17:54,1099,1099,323.181375034,311.579164808
