#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
319337:6901,07/08/18 02:05:51,2193,2193,237.348102052,232.388817887
319347:6904,07/08/18 19:53:18,650,650,228.715235970,210.516181371
319348:6904,07/09/18 00:07:18,37,37,10.960721953,5.006508935
319349:6904,07/09/18 00:23:34,148,148,41.965497074,40.844090702
319449:6909,07/09/18 20:59:32,695,695,258.527148629,249.175702729
319450:6909,07/10/18 01:32:44,681,681,212.506203419,207.046976263
319456:6909,07/10/18 07:08:40,207,207,53.518845948,52.015906425
319459:6909,07/10/18 08:32:35,78,78,17.641531153,17.212189164
319486:6911,07/11/18 09:10:21,66,66,21.061443200,20.314850568
319503:6911,07/11/18 17:30:46,317,317,94.813287703,90.959389263
319524:6912,07/11/18 22:27:29,1424,1424,470.775187318,456.704828210
319526:6912,07/12/18 08:14:19,270,270,68.654173196,66.635991839
319528:6912,07/12/18 10:12:58,254,254,59.799747205,58.411201458
319579:6919,07/13/18 04:43:17,3128,3128,842.700420302,818.490478744
319625:6921,07/14/18 14:05:51,190,190,72.958789811,70.596630306
319639:6923,07/14/18 18:52:13,1477,1477,423.099685888,409.342860849
319656:6924,07/15/18 07:26:01,254,254,90.587093765,86.472472702
319657:6924,07/15/18 09:09:07,167,167,53.753183325,51.824439042
319658:6924,07/15/18 10:17:14,221,221,63.644815405,61.716757541
319659:6924,07/15/18 11:50:26,87,87,22.608470240,21.787782213
319678:6925,07/15/18 15:20:13,259,259,99.053157229,95.425603279
319687:6927,07/15/18 22:28:04,45,45,16.486960361,16.053052869
319697:6929,07/16/18 02:17:40,436,436,62.719981212,60.561287386
319698:6929,07/16/18 05:13:10,312,312,37.203705234,36.295264808
319756:6931,07/16/18 15:39:04,1923,1923,507.087481813,490.207559771
319840:6939,07/17/18 22:27:53,348,348,51.262087969,49.718969875
319841:6939,07/18/18 00:44:33,167,167,20.840269158,20.280330165
319847:6940,07/18/18 04:02:30,3,3,1.330139972,0.903545704
319848:6940,07/18/18 04:04:45,53,53,19.928725032,19.081684776
319849:6940,07/18/18 04:28:02,489,489,179.266263226,173.553507082
319851:6940,07/18/18 07:46:30,4,4,1.250213655,1.137045521
319853:6940,07/18/18 08:01:32,256,256,73.308034543,71.203933393
319854:6940,07/18/18 09:44:34,225,225,55.235431272,53.716620814
319908:6942,07/19/18 02:40:13,51,51,19.578849848,18.295995892
319909:6942,07/19/18 03:03:13,6,6,2.326546908,1.120252165
319910:6942,07/19/18 03:09:20,983,983,315.476062044,304.867394917
319912:6942,07/19/18 09:34:18,59,59,14.171249478,13.437293586
319913:6942,07/19/18 09:59:24,56,56,13.018670152,12.566299025
319914:6942,07/19/18 10:22:49,32,32,7.252553595,6.879894128
319915:6942,07/19/18 10:37:23,416,416,88.940471817,86.802730076
319941:6944,07/19/18 19:59:35,255,255,98.651267275,94.418020564
319942:6944,07/19/18 21:41:30,50,50,17.942967095,17.469046936
319950:6946,07/20/18 02:45:30,168,168,67.840573347,65.936582211
319991:6953,07/20/18 15:48:51,837,837,292.532002366,282.113668829
319992:6953,07/20/18 21:15:39,262,262,67.833884574,65.586878455
319993:6953,07/20/18 23:01:06,955,955,187.747701445,182.676620663
320002:6956,07/21/18 08:17:32,141,141,52.523647545,50.203880745
320006:6956,07/21/18 09:46:32,340,340,117.880259484,114.140954317
320010:6956,07/21/18 14:27:42,330,330,76.664446793,74.677044634
320011:6956,07/21/18 16:38:02,302,302,63.113484867,61.138294842
320012:6956,07/21/18 18:38:20,99,99,18.712035175,18.060759187
320023:6957,07/21/18 21:33:03,276,276,103.950838613,98.835381655
320024:6957,07/21/18 23:21:36,409,409,130.156236805,126.441802344
320025:6957,07/22/18 02:03:20,112,112,30.948007011,30.113402527
320026:6957,07/22/18 02:49:54,204,204,51.564870253,50.085959547
320038:6960,07/22/18 07:09:04,619,619,226.791709155,218.714081484
320039:6960,07/22/18 11:13:45,28,28,8.538614443,8.200323788
320040:6960,07/22/18 11:29:06,737,737,183.360033530,177.429449058
320059:6961,07/22/18 18:43:23,103,103,42.810114864,40.909008242
320060:6961,07/22/18 19:27:05,42,42,16.524608510,15.725134946
320061:6961,07/22/18 19:46:28,49,49,19.093878563,18.270201154
320062:6961,07/22/18 20:06:50,21,21,8.000817898,6.956525840
320063:6961,07/22/18 20:17:40,62,62,22.963310095,22.166274072
320064:6961,07/22/18 20:48:07,198,198,67.732437624,64.855953510
320065:6961,07/22/18 22:09:30,917,917,234.252055221,227.087402522
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#23,65,26183,26183,7139.506240623,6891.784973515
#Check JSON:
#(run,ls) in json but not in results: []
